,SurfArea,Capacity,CatchArea,DamHt,DamLen,Depth,AvgRelease,DOR,Elev
1714,3.3274073076914,6.630023537383524,7.65728279297819,3.8066624897703196,6.71295620067707,3.3032169733019514,10.129028228450059,4.563305981889393,5.43372200355424
1716,4.291527363866569,6.6198065043018115,7.144407180321139,2.772588722239781,8.044626279767337,2.33214389523559,9.364090971782101,5.31762967758041,4.804021044733257
1718,2.361608433443507,5.885548321516433,6.825460036255307,3.8918202981106265,5.966146739123692,3.5234150143864045,9.483187955469509,4.463606621666305,5.14166355650266
1723,0.16126814759612232,4.507557357121091,5.605802066295998,3.8918202981106265,6.1903154058531475,4.3463994570307305,8.008032846969307,4.5612182984589085,5.389071729816501
1726,1.1866231659908228,4.745801315727837,6.269096283706261,3.58351893845611,5.627621113690637,3.55820113047182,8.718500048121273,4.089332020398556,5.332718793265369
173,2.642622395779755,6.093118200834482,5.777652323222656,4.23410650459726,5.683579767338681,3.449987545831587,8.62515033292133,5.529825834193874,6.111467339502679
1733,0.3967606674780181,5.526647444549546,7.234177179749849,4.543294782270004,6.054439346269371,5.1298987149230735,9.863706682524283,3.7256934272366524,5.7899601708972535
1735,0.9954715297485963,5.311727053457954,6.927557906278317,4.07753744390572,5.814130531825066,4.316153890523174,9.421330367117822,3.9512437185814275,5.4638318050256105
1739,0.8127064156175846,5.333201768401539,6.968850378341948,3.8918202981106265,5.739792912179234,4.520701029361642,9.586033321750676,3.8088822465086327,5.472270673671475
1740,2.890038368994927,6.622337308183424,7.500529485395295,3.9318256327243257,5.700443573390687,3.7328963395307104,10.10409915534325,4.579852378003801,5.049856007249537
1741,3.427125003672071,6.793578233919738,7.475905969367397,3.784189633918261,6.573680166960646,3.367295829986474,10.158052248525081,4.697749367281185,5.351858133476067
1742,1.0238887424721732,5.191288793789513,6.35088571671474,4.330733340286331,5.631211781821365,4.1666652238017265,8.968650903374874,4.28496492183075,6.068425588244111
1744,0.5911144549947938,4.074141854904581,5.043425116919247,3.6888794541139363,5.389071729816501,3.484312288372662,7.581209826196346,4.554928969551344,5.768320995793772
1752,5.542102408900107,7.850921604861647,10.726917103358996,3.871201010907891,8.04012466444838,2.312535423847214,13.477406390467934,2.4336133554004498,4.653960350157523
1753,6.354152625860088,8.930626469173578,11.55264605316516,4.143134726391533,7.8504931808711405,2.580216829592325,14.576960571989687,2.4159137783010487,4.663439094112067
1754,2.94606922853489,6.2865565977347755,6.56244409369372,4.454347296253507,6.07073772800249,3.339321977944068,9.266342562091468,5.082025290182929,5.739792912179234
1755,3.4660795937312314,6.913240209212707,7.789040401657477,3.8066624897703196,7.098375638590786,3.4468078929142076,10.619276463576899,4.355425952876702,5.111987788356544
1756,5.072188112455947,8.92408394946908,9.609787407758784,4.3694478524670215,7.466227556215481,3.8522730010223722,12.369928930369513,4.616110126026426,5.332718793265369
1761,5.198071526386823,8.3305744147844,9.924808634239811,3.784189633918261,6.744059186311348,3.131136910560194,12.487564347111636,3.903990833730882,4.532599493153256
1762,4.49585742604739,7.6517381492445775,7.786551806428712,4.110873864173311,6.259581464064923,3.1570004211501135,10.672229100017557,5.04148775757902,5.267858159063328
1768,4.0687703111026705,6.510555915291006,10.315564090231947,3.4011973816621555,7.04141166379481,2.4423470353692043,13.155016416679329,1.410986973710262,4.90527477843843
1775,3.967457712316247,6.6898479944631735,7.761319180947987,3.8066624897703196,6.71901315438526,2.7212954278522306,10.57497688594327,4.175924549214524,5.003946305945459
1776,1.6407427622625128,5.93330563293445,6.856461984594587,3.8066624897703196,6.272877006546167,4.293195420967266,9.736547097780475,4.258445572902527,5.768320995793772
1777,4.086765916698551,7.855699704658087,8.636929873018572,4.330733340286331,6.489204931325317,3.768152635008444,11.57224099500568,4.345103280569283,5.293304824724492
1782,3.6495667367283953,7.138390696054643,7.592366128519796,3.332204510175204,6.369900982828227,3.487375077903208,10.014894750110258,5.185148668442399,4.30406509320417
1796,3.610079723624096,7.616283561580385,8.383433201236713,3.5263605246161616,6.003887067106539,4.005513348515485,10.481728804594715,5.196284640982885,4.219507705176107
180,2.174297072692515,6.316803610736861,5.855071922202427,4.6913478822291435,6.81783057145415,4.143134726391533,9.119540007649686,5.259056652594734,4.941642422609304
182,3.5175571827783507,7.005516996764633,8.480944058741116,4.6443908991413725,6.363028103540465,3.487375077903208,11.447682695908291,3.6189933266497696,4.867534450455582
1848,4.775419161547776,8.221532709262851,8.284251797621916,3.58351893845611,8.44741429680832,3.4468078929142076,11.562496276735974,4.721173861744398,4.343805421853684
185,4.194612130813917,7.582534802183897,7.30854279753919,4.532599493153256,6.363028103540465,3.3877743613300146,9.939095980003495,5.705114919889979,4.875197323201151
1851,5.243000197752064,8.352695835534762,8.603554357064281,4.127134385045092,8.601718146485926,3.109060958860994,11.721158403548683,4.693181063310805,5.313205979041787
1864,4.077401841491788,7.3110847749598795,7.359467638255621,3.5263605246161616,7.847762537473608,3.2347491740244907,10.658129564405668,4.71492104994721,4.2626798770413155
1869,4.677007009606774,8.119011494754332,8.14177220465645,3.4339872044851463,8.351610750626559,3.4404180948154366,11.387758988677334,4.793308128103486,4.110873864173311
1872,4.878489607604036,8.457846502695357,9.674263049655917,4.110873864173311,7.456454555176209,3.580737295494233,12.434848306696013,4.084294226368599,4.532599493153256
1879,5.408229507823851,7.324621809814744,10.550852540440946,3.044522437723423,9.357207447785735,1.916922612182061,13.238505957137251,2.151762203259462,3.044522437723423
1883,4.247466141278187,6.59002628517806,8.462314529906248,3.6109179126442243,6.593044534142437,2.341805806147327,11.070972705490613,3.580737295494233,4.897839799950911
190,2.106083472626257,5.497987561676604,7.317212408359839,4.653960350157523,6.0112671744041615,3.391147045808654,10.129945604818168,3.4307561839036995,5.19295685089021
191,3.3352712315459883,6.243195555274104,7.389563953677635,3.9512437185814275,6.595780513961311,2.9069010598473755,10.17034172227647,4.135166556742356,4.23410650459726
1910,4.838454149098843,7.049775539002566,9.873389104712095,3.9512437185814275,8.328692583545568,2.2082744135228043,12.568024641306591,2.5416019934645457,4.04305126783455
193,2.6923949614916367,5.968963281761469,6.828712071641684,4.1588830833596715,6.391917113392602,3.2771447329921766,9.47231994707559,4.558078578454241,5.37989735354046
198,3.7666966101605746,8.001355025826703,7.7702232041587855,5.267858159063328,6.363028103540465,4.23410650459726,10.634026852313136,5.4289069362516384,5.7899601708972535
203,1.9484782771610234,4.160444363926624,6.150602768446279,2.8903717578961645,7.773594467360194,2.2082744135228043,8.053887083618223,4.168214410788556,3.7612001156935624
204,1.1549926221042173,4.4355674016019115,7.84971375760487,4.127134385045092,6.368187186350492,3.2809112157876537,10.683248114229192,1.8082887711792655,5.0689042022202315
210,3.7275471297547753,7.825644732219989,8.28349412616251,5.153291594497779,6.361302477572996,4.097672352314776,10.961347288717274,4.925803358579558,5.501258210544727
214,2.9631574276218124,7.299932492763366,7.8961806086154915,5.003946305945459,6.056784013228625,4.33729074083249,10.518429918794682,4.843399374720342,5.541263545158426
223,0.6037693694087286,3.374168709274236,5.733341276897746,3.7612001156935624,5.700443573390687,2.772588722239781,7.064759027791802,4.370712874773608,5.44673737166631
292,1.3676210958542694,4.380775852772229,5.111987788356544,3.4965075614664802,6.363028103540465,3.0155349008501706,7.401231264413015,5.04148775757902,7.282073658093465
293,2.4243601499199667,4.843399374720342,9.055556158175316,3.5263605246161616,6.364750756851911,2.4159137783010487,5.424950017481403,7.480259087019738,6.651571873589727
295,2.642551218869514,4.581901559048737,4.634728988229636,1.791759469228055,6.369900982828227,1.9459101490553132,4.007333185232471,8.636361933204924,6.51025834052315
297,5.101821831848196,8.913846253912041,10.057238152342046,4.859812404361672,6.78105762593618,3.8110970868381857,12.672623445616177,4.302712827954156,6.577861357721047
300,4.179497268508576,7.471420001763846,9.423029465386534,2.995732273553991,6.38856140554563,3.292126286607793,10.318506873449104,5.214935757608986,6.80903930604298
307,6.704943626639846,10.067305637765523,11.901101982940851,4.356708826689592,8.765458531504226,3.3638415951183864,12.632793572905426,5.496348217047172,6.517671272912275
310,5.598436773703451,8.763365532911266,12.179081643665588,5.123963979403259,6.369900982828227,3.1654750481410856,14.96820248887815,1.8562979903656263,5.948034989180646
316,6.1904444958813265,7.700385738027032,9.814437735702617,4.07753744390572,5.327876168789581,1.5040773967762742,12.662778879998495,3.100092288878234,6.776506992372183
317,1.7977415409056023,4.053522567701846,2.4849066497880004,2.70805020110221,6.364750756851911,2.2512917986064953,3.871201010907891,8.244123831332303,7.1929342212158
319,1.3663467233101945,4.805659046737495,7.264730177929867,4.110873864173311,6.363028103540465,3.4404180948154366,9.46660917372222,3.4011973816621555,7.2640301428995295
320,1.701469997880594,3.893859034800475,5.594711379601839,3.332204510175204,6.361302477572996,2.1972245773362196,7.097548850614793,4.858260813670253,7.1372784372603855
338,3.9527809979003137,8.38735781723568,8.74909824839902,5.389071729816501,6.90975328164481,4.4343818650078095,11.852165296835603,4.597138014290827,6.1463292576688975
355,2.4072153420721287,7.473409939026806,10.833838968058616,5.075173815233827,6.363028103540465,5.066385309200747,11.643330726334234,3.8918202981106265,7.007600613951853
361,0.9969486348916096,3.068052935133617,7.767263996757308,3.091042453358316,6.361302477572996,2.066862759472976,9.73601519859238,1.3862943611198906,6.858565034791365
362,2.894308443416027,5.38357721049886,8.695171998776056,3.8066624897703196,6.366470447731438,2.4932054526026954,9.888069299807748,3.55820113047182,7.430707082545968
364,3.8759604998829302,6.47435355218095,7.789868559054706,3.295836866004329,5.393627546352362,2.5952547069568657,10.104998803723223,4.430816798843313,7.596392304064196
